MIDWEST GRAIN FUTURES 11:31 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 281 UP 1/4 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
LONE STAR <LCE> SEES FLAT U.S. CEMENT DEMAND|Lone Star Industries Inc expects demand for cement om the U.S. to remain in the 85-90 mln ton range through 1992, its annual report said. The company said U.S. cement consumption totaled 90.6 mln tons last year, up four pct from 1985. Lone Star also said it expects consolidation and internationalization of the U.S. cement industry to continue, adding foreign companies now own over 50 pct of U.S. capacity. Since 1974, it added, more than 30 cement plants have closed. "In our opinion, the industry's annual cement capacity today is, in reality, less than 80 mln tons" a year, it added. Lone Star said the gap between supply and demand is being filled by imported cement, which accounted for 18 pct of domestic consumption last year, up from four pct ten years ago. Reuter
FLASH SIOUX FALLS HOGS UP 1.75 DLR - USDA|barrows and gilts rose 1.75 dlr in active trade, the usda said. us 1-3 220-250 lbs 51.75-52.00. Reuter
MALAYSIA MAY NOT MEET 1987 OIL PALM TARGET|Malaysia is unlikely to meet its targeted output of five mln tonnes of oil palm in calendar 1987, oil palm growers told Reuters. Output in 1987 is expected to reach around 4.5 mln tonnes, unchanged from 1986, because of drought, low use of fertiliser and overstressed palms, they said. The growers were asked for their reaction to an Oil World newsletter report that Malaysia's oil palm output is likely to drop sharply this year. Palm oil now sells at around 700 ringgit a tonne, or about 115 ringgit less than soybean oil, but Malaysia must sell more palm oil to prevent a stock buildup that could damage the industry, a leading grower told Reuters. The country's palm oil stocks now total some 500,000 tonnes against about 800,000 last March, the growers said. The growers expect palm oil prices to ease later this year due to pressure from South American and U.S. Soybean output. The current South American oilseed harvest, mainly soybean, is likely to be around 25.7 mln tonnes against the previous 21.7 mln tonne crop, they said. In addition, new U.S. Soybean plantings are also expected to enter the market around November when Malaysian palm oil output peaks. They said new planting of palms is also likely to slow, with some 50,000 hectares expected to be planted with new trees against 100,000 in 1986, although the effects of this reduction will not be felt for about another three years. REUTER
MIDWEST GRAIN FUTURES 12:01 EDT|MINNEAPOLIS WHEAT MAY7 285 UP 1 1/2 JUL7 280 3/4 UNCH SEP7 276 1/2 UP 1/2 DEC7 -- -- MAR8 -- --
BOEING <BA> UNIT CHOOSES UNDUCTED FAN ENGINE|Boeing Co's Boeing Commerical Airplane Co said it selected an unducted fan engine for continued development as the baseline engine for the advanced technology 7J7 airliner due to enter service in 1992. Boeing said it reached the decision following a three-month study of <International Aero Engine's> SuperFan concept and the General Electric <GE> UDF engine. Boeing said the UDF engine would up with a nine pct advantage in fuel savings over the SuperFan on a typical 500-nautical-mile trip. Boeing said it wil proceed with detail design of the 7J7 and could launch the program in 1987 depending on the market response. It will seat about 150 passengers, the company said. Reuter
JAPANESE CONSORTIUM WINS NEW YORK SUBWAY CAR ORDER|<Nissho Iwai Corp> and Kawasaki Heavy Industries Ltd <KAWH.T> have jointly won an order to build 200 subway cars worth about 200 mln dlrs for the Metropolitan Transportation Authority of New York, a Nissho spokesman said. The cars, to be produced with 51 pct U.S. Content, will be delivered between early 1988 and August 1989, he said. Ten will be built in Japan, but the others will be made at a Yonkers, New York, plant equally owned by Nissho and Kawasaki. REUTER
COMMODITY RESEARCH BUREAU PRICES INDEX New York,|THE COMMODITY RESEARCHBUREAU FUTURES PRICES INDEX Apr 7 - 212.28 up 1.71 COMPARED WITH 210.2 unch year ago. (BASE 1967 EQUALS 100). IMPORTS 311.72 up 4.12 INDUSTRIES 227.11 up 1.38 GRAINS 162.80 up 0.82 OILSEEDS 182.03 up 2.98 LIVESTOCKS/MEATS 204.40 unch PRECIOUS METALS 334.78 up 5.09 MISCELLANEOUS 269.98 up 2.68 ENERGY 163.55 up 1.08 INTEREST RATES 104.25 off 0.57 CURRENCY 123.18 up 0.19 Reuter
SYDNEY FINANCIAL FUTURES OPEN MIXED|A sharp overnight fall on Wall Street due to profit taking and arbitrage related selling and a subsequent local share market slump led to a steep drop in most share price index contracts, dealers said. They said domestic credit futures were higher, however, in response to lower yields in short term money markets as the Australian dollar firmed and cash weakened. Comex-linked gold futures were higher as a result of rises in bullion. International credit futures were steady in extremely thin trade. June share price index futures opened lower at 1,730.0 against yesterday's 1,735.5 close in moderate trade. September was slightly higher at 1,741.0 against 1,737.0 in thin trade. About 950 lots changed hands. Dealers said the market, which seemed to lose its momentum late yesterday, reacted badly to the 45 point drop in the Dow Jones index. The all ordinaries index dropped 10.3 points to 1,743.7 at mid-morning with losses across the board. June 90 day bank bills rose to 85.23 from yesterday's 85.16 close. September rose to 85.32 from 85.25. About 3,054 contracts were traded. Physical yields eased to 15.40 pct from 15.50. June 10-year bond futures, the only month to trade, were higher at 86.92 against yesterday's 86.87 finish. About 5,433 lots were exchanged. March 1997 paper was 13.09 pct, down from 13.11. June Comex-linked gold futures started strongly at 427.50 U.S. Dlrs an ounce, up from 426.20 in New York and yesterday's close of 425.00. Only two lots were traded. June U.S. T-bonds started at 97.02, down from a Chicago finish of 97.08 and a close of 97.27, with 20 lots traded. June Eurodollars were steady with only five lots exchanged. REUTER
SAITAMA BANK ISSUES 100 MLN SFR CONVERTIBLE|Saitama Bank Ltd is issuing 100 mln Swiss francs of convertible notes due September 30, 1992, paying an indicated 1-1/4 pct, lead manager Credit Suisse said. Terms will be set on April 15 with payment due May 6. The conversion period is from May 20, 1987 until September 18, 1992. REUTER
MIDWEST GRAIN FUTURES 11:00 EDT|MINNEAPOLIS WHEAT MAY7 284 3/4 UP 1 1/4 JUL7 280 1/4 OFF 1/2 SEP7 277 UP 1 DEC7 -- -- MAR8 -- --
ST LOUIS CATTLE STEADY/UP 0.50 DLR - USDA|slaughter steers were firm to 0.50 dlr higher in active trade and heifers fully steady amid limited supply, the usda said. steers - choice 2-4 975-1250 lbs 64.00-65.50, package 2-3 1230 lbs 66.00. heifers - few lots choice 2-4 900-1075 lbs 61.50-63.00. Reuter
<ASIX SYSTEMS> GETS MORE FINANCING|ASIX Systems, a developer of test systems for ASIC devices, said it has received 4,800,000 dlrs in a second round of equity financing. The company said investors include first round participants Paragon Partners, Citicorp <CCI>, Vista Ventures, Rust Ventures and Orien Ventures, plus new investors North Carolina Bank Venture Co LP, RepublicBankCorp <RPT> and ECI Ventures. It said it has now raised total capitalization of 8,600,000 dlrs. Reuter
CANADIANS URGE EXEMPTION FROM U.S. TRADE BILL|A group of Canadian lawmakers from Ontario today asked their U.S. counterparts to exempt Canada from the mandatory trade retaliation provisions in a major trade bill being considered by the U.S. Congress. At a meeting of the Northeast-Midwest Coalition, an organization of U.S. legislators, David Cooke, chairman of the Ontario Parliament's Select Committee on Economic Affairs, said the exemption would help trade relations. The trade legislation to be considered by the full House in late April would require President Reagan to retaliate against foreign unfair trade practices unless the trade actions would harm the U.S. economy. Currently, Reagan can reject trade sanctions on any grounds. Cooke, a member of the Liberal party, told the U.S. congressmen, "I can understand (the trade bill). I think it has to do with concerns you have with the other parts of the world." "I would suggest to you that we are your best friends. You do not have those concerns with Canada and you should sincerely consider exempting our country from that bill," he added. Canada is the United States' largest trading partner, with two-way trade more than 113 billion dlrs in 1985, according to the coalition. But the U.S. ran up a 23 billion dlr deficit in manufactured goods that year compared to a 14 billion dlr surplus in services trade with its neighbour. Reuter
FEEDER CATTLE FUTURES SET NEW HIGHS, TURN MIXED|Feeder Cattle futures advanced 0.20 to 0.30 cent at the start and posted new season's highs in April through August and October before slipping to trade 0.10 cent lower to 0.20 higher in latest trade. Futures ran up to new highs at the start on general demand prompted by continued strong cattle fundamentals. Posting of another 10 cent gain in the latest reported average feeder steer price added to support, traders said. However, prices retreated on profit-taking following the lead of other meat pits. Stotler notably sold April on the decline, they said. Reuter
