SIOUX FALLS HOGS OPEN UP 1.50 DLR - PRIVATE|Hog prices opened 1.50 dlr higher, private sources said. Top 52.00 dlrs per cwt. Reuter
STOCKS CLOSE AT RECORD HIGH IN HEAVY TOKYO TRADE|Share prices surged to close at a record high in heavy trade as record gains on Wall Street yesterday and expectations that Japan will take further steps to boost its economy drew investors into the market, brokers said. The market average climbed 198.54 to 22,784.65, a record closing high. The last closing record, set on April 4, was 22,738.67. Yesterday the market average lost 152.56. Advances led declines nine to eight in share turnover of 1.8 billion, the same as yesterday. Railway, securities house, rubber, oil, insurance, glass, fisheries, machinery and food stocks led the advance. Brokers said a meeting of the Group of Five industrial nations expected in Washington tomorrow is likely to lead to further undertakings by Japan to stimulate domestic demand. Gas, some manufacturing, shipbuilding and other shares related to the expansion of Japan's economy rose. A Nomura Securities broker said he did not expect another cut in Japan's discount rate around the time of tomorrow's talks but said the meeting would pressure Japan to import more in order to ward off a further yen rise against the dollar. Communications, real estate, warehouse, rolling stock, electric power and mining shares fell. The broad-based first section index rose 8.76 to 1,942.07 after falling 4.77 yesterday. The second section section index gained 2.77 to 2,055.38 extending yesterday's 2.58 rise in turnover of nine mln against seven mln yesterday. REUTER
U.S. SCIENTISTS SAY TROPICAL OILS HEALTH RISK|U.S. scientists said some tropical vegetable oils can be hazardous to consumers whose health is at risk because of high levels of saturated fat, lending weight to a campaign by the American Soybean Association (ASA) for labelling changes. The scientists appeared to support an ASA charge, denied by Malaysian palm growers, that imported coconut, palm and palm kernel oils contain high levels of saturated fat and thus raise blood cholesterol and the risk of heart disease. In a petition filed in January, the ASA asked the U.S. Food and Drug Administration (FDA) to require palm, palm kernel and coconut oils to be identified as saturated fats on food manufacturers' labels. The FDA responded to the ASA in a letter saying it would consider the petition as a comment to a proposed rule dealing with cholesterol and fatty acid labelling of foods. Malaysian oil palm growers have said the charges by the ASA that palm oil consumption increases blood cholesterol and contributes to heart disease are untrue. But Steve Chang, Professor of Food Science at Rutgers University, said, "Palm oil is definitely not good for human health because it has a high content of saturated fatty acid." He added that the higher the fatty acid, the greater the blood cholesterol level. "It has been well established that high cholesterol levels will have a higher level of heart disease," he said. A Malaysian Oil Palm Growers Council official, Borge Bek-Nielsen, has said studies have shown that palm oil is cholesterol-free, low in saturated fats, has anti-cancer properties and prevents blood clotting and blocking of arteries in humans. Bek-Nielsen said Americans consume more saturated fats daily through food like butter, bacon, ham and beef than from palm oil, which, he added is rich in vitamins A and E. David Kritchevsky, Associate Director of the Wistar Institute in Philadelphia, appeared to take the ASA view on labelling. "What people really have to learn is to read labels," said Kritchevsky. "The more a consumer knows, the more likely he will make an intelligent choice." The U.S. scientists said they had no doubt imported palm, palm kernel and coconut oils contain high saturated fat levels. Kritchevsky, a specialist in nutrition, said, "More saturated fat would raise cholesterol levels...So, from that point of view it's a health risk. High cholesterol levels in the blood are a risk factor for heart disease." Susanne Harris, deputy assistant secretary of the U.S. Agriculture Department's Food and Consumer Services Division, said the health risk among consumers of vegetable oils with high saturated fat levels was highest among those who have heart disease. The scientists said more than 50 pct of the fatty acid content of the tropical oils was saturated, whereas less than 20 pct of the fatty acid content of soybean oil was saturated. David Ericksen, director of ASA's technical services, said U.S. soybean producers could regain about one-half of the 273 mln dlrs in sales lost to imported tropical oils if consumers were aware the vegetable oils were high in saturated fat. Imported tropical oils displace 171 mln bushels of U.S. soybean sales in the U.S. market, ASA estimates. U.S. imports of coconut oil during January totaled 82.9 mln lbs compared with 48.0 mln lbs in December and 106.5 mln a year earlier, according to Commerce Department figures. Imports of palm oil totaled 44.0 mln lbs compared with 51.3 mln lbs in December and 85.2 mln a year earlier. Reuter
LOCTITE <LOC> SEES BETTER THAN EXPECTED NET|Loctite Corp said it expects third quarter earnings to be higher than security analysts' forecasts of 75 to 80 cts a share. Last year the company earned 53 cts per share in the third quarter. It attributed its better than expected forecast to sales growth, which it said were particularly strong overseas. It also said it will have a lower effective tax rate. Reuter
KUALA LUMPUR TIN PRICE CLOSES UNCHANGED|The Kuala Lumpur tin price closed unchanged from yesterday's 16.65 ringgit per kilo close after a very brief trading session, dealers said. Buyers and sellers were evenly matched at the opening level of 16.65 ringgit, and total turnover was 103 tonnes against 135 yesterday, they added. Buying at this level was mainly noted from the Japan, local and Europe, again influenced by steady currency factors, despite an easier European spot market. Some cash-strapped miners continued to sell, they said. REUTER
U.S. ENERGY FUTURES CALLED SLIGHTLY HIGHER|Traders expect U.S. energy futures will open higher, tracking firmer gasoil futures and cash crude markets. Also lending support, said traders, are reports that the Iran/Iraq war is heating up. Crude futures are called five to 10 cts higher with support from a squeeze in the April 15-day forward Brent crude market, which traded as high as 19.40 dlrs a barrel today, and from domestic grades, trading unchanged to seven cts higher, traders said. Iraq said today it attacked Iran's Sirri Island as well as offshore oil escalations west of Kharg Island. Iran meanwhile reported victories on the southern front in its war with Iraq. These reports may support the market, which is "begging for news," said one broker. He said resistance is at 18.75-18.85 dlrs, then 19.00 dlrs a barrel for May crude. Products are called 0.25-0.50 cent higher a gallon following gasoil futures which ended the morning session 1.25 dlrs higher a tonne basis April, which expired today, and 1.00 dlr higher basis May, traders said. Reuter
U.S. WEATHER FORECAST FOR TUESDAY|The National Weather Service forecast for today said periods of rain will occur across New England, New York and Pennsylvania, and from western Washington into northwest Oregon. Scattered showers will extend across the central Appalachians and from south Texas through the Gulf Coast. A few showers and thundershowers will reach across the intermountain region. Much of the nation will have high temperatures in the 50s and 60s F. Readings in the 40s F will reach from New England and New York into Pennsylvania and the central Appalachians. Highs will warm into the 70s from central and southern California across southern Nevada into southeast Arizona, and from southeast Mississippi through southern portions of Alabama and Georgia into Florida. Readings will be in the 80s acorss southern Arizona and southeast California. Reuter
DASSAULT SUSPENDS EGYPTIAN DELIVERIES, SAY SOURCES|Avions Marcel Dassault-Breguet Aviation <AVMD.PA> has suspended deliveries of its Mirage fighter jets to Egypt because of payment delays on planes already delivered, aircraft industry sources said. A Dassault spokesman could neither confirm nor deny the suspension. The sources said the last six of 20 fighters ordered by Cairo in 1983 were being held back, although the contract is expected to be completed in the near future. Deliveries started last year. They said the decision, taken in consultation with the French government, would pressure Cairo to speed up payments, delayed because of Egypt's foreign currency shortage. REUTER
KROGER <KR> TO BUY EIGHT FOOD STORES|Kroger Co said it agreed to buy nine retail food stores from the Dallas division of <Safeway Stores Inc>, which announced it was closing the 141-store division as part of a restructuring. Terms were not disclosed. Kroger expects to take over operation of the stores, one of which is under construction, in late April. The addition of the stores will bring Kroger's Dallas division to 75 stores, it said. It operates more than 1,300 stores in 20 states. Reuter
U.S. COAL PRODUCTION FELL IN LATEST WEEK|U.S. output of bituminous coal and lignite in the week ended March 28 was estimated at 17.05 mln short tons, off 1.6 pct from 17.33 mln in the previous week and vs 17.54 mln a year earlier, the Energy Information Administration said. In its weekly coal production report, the Energy Department agency said year-to-date output was 209.61 mln short tons, down 7.1 pct from corresponding 1986 output of 225.60 mln. Production of Pennsylvania anthracite was estimated at 86,000 tons, down 7.5 pct from 93,000 tons a week earlier and compared to 59,000 tons in the year-ago week, it said. Year-to-date anthracite output was one mln tons, up 35.8 pct from the corresponding output of 755,000 tons last year, the EIA said. Reuter
FREEDOM SAVINGS <FRDM> MAY SEEK SALE OR MERGER|Freedom Savings and Loan Association said it may seek a possible sale or merger of the association as it reported a net loss of 112.7 mln dlrs or 31.09 dlrs a share for 1986. The loss included a number of charges, including additions to its loan loss provision of 68 mln dlrs and write-downs on the value of its real estate of 13 mln dlrs. It said it is continuing to work with investment bankers to find sources of new capital, return its non-performing assets to earning status, and reduce operating expenses and liabilities, among other things. Reuter
